# param1 param2 velocity_error viscosity_error
3.6244225039e+00 1.7153371878e-01 8.0219608308e-02 1.9387968956e-01
3.6244225039e+00 1.7153371878e-01 1.0140694474e-01 3.2097185398e-01
3.6244225039e+00 1.7153371878e-01 9.9354881808e-02 8.0638636830e-02
3.6244225039e+00 1.7153371878e-01 9.9483163702e-02 2.4201048505e-01
3.6244225039e+00 1.7153371878e-01 5.6884665956e-03 2.8776446765e-02
3.7808380551e+00 6.1245486375e-01 4.9434290368e-03 9.6095425233e-02
3.7808380551e+00 6.1245486375e-01 4.6683233383e-02 1.9565225384e-01
3.7808380551e+00 6.1245486375e-01 4.5675232301e-02 1.7923083367e-01
3.7808380551e+00 6.1245486375e-01 4.2866021369e-02 1.9550744744e-01
3.7808380551e+00 6.1245486375e-01 3.3191392784e-02 1.4516719065e-01
3.7808380551e+00 6.1245486375e-01 1.1085123052e-02 2.5572188870e-01
3.7808380551e+00 6.1245486375e-01 3.2221048464e-02 4.5653856366e-01
3.7808380551e+00 6.1245486375e-01 4.3846835946e-02 9.7593706201e-02
3.7808380551e+00 6.1245486375e-01 4.4622587569e-02 2.3997175225e-01
3.7808380551e+00 6.1245486375e-01 2.2033735918e-03 2.8893865129e-02
3.9900556930e+00 3.2034250526e-01 5.1259746997e-03 9.6095582493e-02
3.9900556930e+00 3.2034250526e-01 4.7064229215e-02 1.7960269945e-01
3.9900556930e+00 3.2034250526e-01 4.6350036632e-02 1.5990154017e-01
3.9900556930e+00 3.2034250526e-01 4.3444556009e-02 1.8977924389e-01
3.9900556930e+00 3.2034250526e-01 2.7899589713e-02 1.3100945856e-01
3.9900556930e+00 3.2034250526e-01 4.8677118965e-02 2.2925091611e-01
3.9900556930e+00 3.2034250526e-01 8.6828362983e-02 3.8786622917e-01
3.9900556930e+00 3.2034250526e-01 9.0082026496e-02 8.8427213748e-02
3.9900556930e+00 3.2034250526e-01 9.1682792913e-02 2.6750758266e-01
3.9900556930e+00 3.2034250526e-01 6.7994008059e-03 2.5114152307e-02
4.1448710702e+00 5.2534740097e-01 4.9630442662e-03 9.6095410981e-02
4.1448710702e+00 5.2534740097e-01 4.6697891451e-02 1.9420902271e-01
4.1448710702e+00 5.2534740097e-01 4.5701343472e-02 1.7899668008e-01
4.1448710702e+00 5.2534740097e-01 4.2743787639e-02 1.9817890320e-01
4.1448710702e+00 5.2534740097e-01 3.1115970020e-02 1.4231252340e-01
4.1448710702e+00 5.2534740097e-01 1.4940937213e-02 2.4593759777e-01
4.1448710702e+00 5.2534740097e-01 5.0998685882e-02 4.2819660105e-01
4.1448710702e+00 5.2534740097e-01 6.2788937022e-02 9.9068934401e-02
4.1448710702e+00 5.2534740097e-01 6.3870022954e-02 2.8259395636e-01
4.1448710702e+00 5.2534740097e-01 2.5501506553e-03 2.7405960982e-02
4.2784450688e+00 4.7824988839e-01 4.9815648777e-03 9.6095431310e-02
4.2784450688e+00 4.7824988839e-01 4.6726146387e-02 1.9249572522e-01
4.2784450688e+00 4.7824988839e-01 4.5746119049e-02 1.7736271531e-01
4.2784450688e+00 4.7824988839e-01 4.2723608073e-02 1.9904280930e-01
4.2784450688e+00 4.7824988839e-01 3.0012788803e-02 1.4056851933e-01
4.2784450688e+00 4.7824988839e-01 2.0728207309e-02 2.4139787357e-01
4.2784450688e+00 4.7824988839e-01 6.1280198936e-02 4.1536594096e-01
4.2784450688e+00 4.7824988839e-01 7.2190961132e-02 9.8864341243e-02
4.2784450688e+00 4.7824988839e-01 7.3482343725e-02 2.9666820484e-01
4.2784450688e+00 4.7824988839e-01 3.3684858513e-03 2.7184806574e-02
4.4182176477e+00 1.9499509973e-01 5.4868590658e-03 9.6095871901e-02
4.4182176477e+00 1.9499509973e-01 4.7705274784e-02 1.6749038247e-01
4.4182176477e+00 1.9499509973e-01 4.7453008020e-02 1.4806559342e-01
4.4182176477e+00 1.9499509973e-01 4.6164274327e-02 1.8272583608e-01
4.4182176477e+00 1.9499509973e-01 4.0636212110e-02 1.1912691294e-01
4.4182176477e+00 1.9499509973e-01 8.3444479562e-02 1.9933092740e-01
4.4182176477e+00 1.9499509973e-01 1.1118638492e-01 3.1045973688e-01
4.4182176477e+00 1.9499509973e-01 1.1114525286e-01 8.6781499246e-02
4.4182176477e+00 1.9499509973e-01 1.1248885219e-01 3.2359107567e-01
4.4182176477e+00 1.9499509973e-01 7.1022333526e-03 2.1666954009e-02
4.5937098335e+00 5.6431058394e-01 4.9524905767e-03 9.6095673891e-02
4.5937098335e+00 5.6431058394e-01 4.6658446875e-02 1.9814826766e-01
4.5937098335e+00 5.6431058394e-01 4.5622955023e-02 1.8605939805e-01
4.5937098335e+00 5.6431058394e-01 4.2728224813e-02 2.0253377634e-01
